X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,Zip_Code,Zip4,Proposed_new_category,Latitude,Longitude,ObjectId,NOTES,Store_Type
-7947336,5139260,1279037,Hope St Farmers Market,1015 Hope St,Lippitt Park,2906,,Farmers Market,41.85484,-71.3921,224197,,Farmers and Markets
-7955157,5132566,1075096,Neutaconkanut Farmers Market/Farm Fresh RI,675 Plainfield St,,2909,5312,Farmers Market,41.81082,-71.46512,222147,,Farmers and Markets
-7948999,5129877,1405797,Pop-up Farmer Market,1197 Broad St,,2905,2945,Farmers Market,41.79340,-71.41169,177995,,Farmers and Markets
-7950119,5138252,1314313,Quaintly Farm,58 Chatham St,,2904,2510,Farmers Market,41.8481,-71.4171,128299,,Farmers and Markets
-7951105,5131819,1441910,Sankofa World Market,275 Elmwood Ave,,2907,1597,Farmers Market,41.80504,-71.426,95644,,Farmers and Markets
-7950150,5131124,1238966,America's Food Basket,863 Broad St,,2907,1725,Grocery Store,41.80038,-71.4174,218256,,Super Store
-7949825,5130741,1587216,B & B El Bombazo Market Llc,981 Broad St,,2905,1704,Grocery Store,41.79782,-71.4145,35390,,Grocery Store
-7952465,5132480,1080278,Baron Market LLC,77 Union Ave,,2909,2220,Grocery Store,41.80946,-71.4382,222962,,Grocery Store
-7952062,5131679,1520194,Bayon Market Inc,759 Potters Ave,,2907,3065,Grocery Store,41.8041,-71.4346,193953,,Grocery Store
-7950445,5139049,1490738,Caribbean Supermarket NO,615 Charles St,,2904,1345,Grocery Store,41.85343,-71.4201,182128,,Grocery Store
-7950427,5138734,1541848,Chalkstone Express Market,567 Charles St,,2904,2281,Grocery Store,41.85132,-71.4199,205974,,Grocery Store
-7952981,5135859,1088169,Chalkstone Supermarket Inc,1050 Chalkstone Ave,,2908,4538,Grocery Store,41.83208,-71.4428,111742,,Super Store
-7954412,5132294,1556333,Chapines Market NO,248 Pocasset Ave,,2909,4724,Grocery Store,41.80821,-71.4557,219477,,Grocery Store
-7950403,5136871,1571887,Dailystop Supermarket,85 Whipple St,,2908,3260,Grocery Store,41.83886,-71.4197,137391,,Grocery Store
-7950577,5129276,1605477,Dr Union Supermarket Corp,895 Elmwood Ave,,2907,3616,Grocery Store,41.788,-71.4212,252939,,Super Store
-7951510,5137994,1307094,Elias Market,600 Douglas Ave,,2908,2408,Grocery Store,41.84637,-71.4296,149932,,Grocery Store
-7951072,5131410,1497750,Elmwood Supermarket Inc no,366 Elmwood Ave,,2907,1517,Grocery Store,41.80229,-71.4257,183300,,Grocery Store
-7949966,5129831,1322391,Good Fortune Supermarket Rhode Island Corp,101 Cadillac Dr,,2907,2123,Grocery Store,41.79172,-71.4158,137653,,Super Store
-7948506,5129418,1504800,Liberato Meat Market Llc,1338 Eddy St,,2905,2821,Grocery Store,41.78896,-71.4026,197872,meat produce canned stuff big bags of rice etc.,Grocery Store
-7953799,5134495,1597430,Manton Meat Market LLC,309 Manton Ave,,2909,3612,Grocery Store,41.82295,-71.4502,249343,,Grocery Store
-7953517,5132706,885096,Mateo Market LLC,3 Priscilla Ave,,2909,3507,Grocery Store,41.81097,-71.4477,78658,no info but looks like Corner store,Grocery Store
-7952482,5131735,1308679,New Sky Market Inc,744 Cranston St,,2907,3059,Grocery Store,41.80447,-71.4384,150693,,Grocery Store
-7952394,5131850,1367691,Nueva Era Supermarket,701 Cranston St,,2907,3058,Grocery Store,41.80524,-71.4376,141587,,Grocery Store
-7954742,5132945,869842,Plainfield Meat Market,600 Plainfield St,,2909,4630,Grocery Store,41.81258,-71.4587,227699,lots of meat and produce and beans,Grocery Store
-7953721,5132914,1284126,Pocasset Meat Market Llc,50 Pocasset Ave,,2909,2962,Grocery Store,41.81236,-71.4495,236554,meat market with lots of produce,Grocery Store
-7949685,5130589,1546196,Rosario Meat Market LLC,1035 Broad St,,2905,1739,Grocery Store,41.7968,-71.4132,200749,,Grocery Store
-7953062,5135186,1538323,Serie 034 Food Market Llc,103 Academy Ave,,2908,4539,Grocery Store,41.82758,-71.4436,195279,call or visit to see about produce and milk and meat and stuff -- otherwise just corner,Grocery Store
-7948212,5133924,1507989,Seymour Foods,109 Wickenden St,,2903,4364,Grocery Store,41.81913,-71.4,195614,,Grocery Store
-7950716,5137306,1633555,Supreme Food,288 Chad Brown St,,2908,3112,Grocery Store,41.84176,-71.4225,1677,,Supermarket
-7953051,5135896,1203285,Tienda Y Taqueria Puebla,1070A Chalkstone Ave,,2908,4551,Grocery Store,41.83233,-71.4435,218284,,Grocery Store
-7954945,5133904,1585263,Tikal Meat Market,501 Hartford Ave,,2909,5132,Grocery Store,41.819,-71.4605,183311,ask if they take EBT,Grocery Store
-7954613,5133824,1295026,Two Brothers Meat Market LLC/La Gran Via Meat Mkt,415 Hartford Ave,,2909,5130,Grocery Store,41.81846,-71.4575,241332,,Super Store
-7950904,5133485,1364433,Urban Greens Food Co-op,93 Cranston St,,2907,2306,Grocery Store,41.81619,-71.4242,159300,,Supermarket
-7951065,5131542,1560755,Elmwood Food Market,342 Elmwood Ave,,2907,1534,Grocery Store,41.80318,-71.4256,245847,ask if they take EBT name change,Grocery Store
-7953578,5134209,1597347,Advance Market LLC,228 Manton Ave,,2909,3332,Meat Market,41.82103,-71.4482,168977,,Grocery Store
-7950403,5131902,1364704,AJ Food Market LLC,676 Broad St,,2907,1466,Meat Market,41.80559,-71.4197,159932,,Super Store
-7951205,5134654,409569,Antonelli Poultry Inc,62 Depasquale Ave,,2903,,Meat Market,41.82402,-71.4269,22138,,Specialty Store
-7952184,5132743,1537362,Candy Meat Market 01,153 Messer St,,2909,1743,Meat Market,41.81122,-71.4357,191883,,Grocery Store
-7947056,5134401,327270,CENTRAL MEAT MARKET,113 Gano St,,2906,3822,Meat Market,41.82232,-71.3896,17797,,Grocery Store
-7954464,5132266,1628338,El Toro Meat Market,261 Pocasset Ave,,2909,4722,Meat Market,41.80803,-71.4562,263534,check to see if they take EBT,Grocery Store
-7948785,5129545,1432282,Gustoso Meat Market,1361 Broad St,,2905,2831,Meat Market,41.78981,-71.4052,169676,,Other
-7951702,5133584,325397,JOES MEAT MARKET,1337 Westminster St,,2909,1412,Meat Market,41.81685,-71.4314,13467,,Supermarket
-7950547,5133212,227659,MEKONG MARKET,314 Broad St,,2907,2238,Meat Market,41.81436,-71.421,5784,mostly seafood but kind of good produce,Grocery Store
-7951489,5129612,873245,Pacific Seafood Market,247 Reservoir Ave,,2907,3402,Meat Market,41.79025,-71.4294,239753,,Specialty Store
-7953579,5132231,1507264,Webster Meat Market,249 Webster Ave,,2909,3821,Meat Market,41.80779,-71.4482,195218,,Grocery Store
-7951422,5136508,874716,ALDI 61058 61058,539 Smith St,,2908,4350,Superstore,41.83643,-71.4288,53978,,Supermarket
-7952430,5134931,847848,PriceRite of Providence 371,325 Valley St,,2908,5612,Superstore,41.82587,-71.4379,57442,,Super Store
-7955548,5135839,235526,Stop & Shop 722,850 Manton Ave,Ste 1,2909,5655,Superstore,41.83195,-71.4659,3791,,Supermarket
-7949559,5137855,249209,Stop & Shop 725,333 W River St,,2904,2610,Superstore,41.84544,-71.4121,6535,,Supermarket
-7948597,5134119,1521302,TRADER JOE'S PROVIDENCE 572,425 S Main St,,2903,2914,Superstore,41.82044,-71.4035,111459,,Supermarket
-7950795,5129414,971019,V Mart LLC,176 Narragansett Ave,,2907,3367,Superstore,41.78893,-71.4232,242427,,Other
-7950000,5137874,809462,Walmart 3301,51 Silver Spring St,,2904,2557,Superstore,41.84557,-71.4161,49201,,Super Store
-7946688,5135213,573128,Whole Foods Market 10014,261 Waterman St,,2906,5210,Superstore,41.82776,-71.3863,33068,,Super Store
-7949128,5136586,330607,Whole Foods Market 10111,601 N Main St,,2904,5755,Superstore,41.83695,-71.4082,17874,,Super Store
